| Kernel Combination                                                         |   Initialization Number |   Training Loss |
| periodic * periodic * periodic * periodic + RQ * RQ * RQ                   |                       1 |         9.17173 |
| periodic * periodic * periodic * periodic * RQ + RQ + RQ                   |                       1 |         6.87184 |
| periodic * periodic * periodic * periodic * RQ + RQ * RQ                   |                       1 |         9.21347 |
| periodic * periodic * periodic * periodic * RQ * RQ + RQ                   |                       1 |         9.13699 |
| periodic * periodic * periodic * periodic * RQ * RQ * RQ                   |                       1 |        16.1257  |
| periodic + periodic + periodic + periodic + RQ + RQ + SE                   |                       1 |         5.3853  |
| periodic + periodic + periodic + periodic + RQ + RQ * SE                   |                       1 |         5.9538  |
| periodic + periodic + periodic + periodic + RQ * RQ + SE                   |                       1 |         4.54364 |
| periodic + periodic + periodic + periodic + RQ * RQ * SE                   |                       1 |         4.17728 |
| periodic + periodic + periodic + periodic * RQ + RQ + SE                   |                       1 |         2.84272 |
| periodic + periodic + periodic + periodic * RQ + RQ * SE                   |                       1 |         3.56573 |
| periodic + periodic + periodic + periodic * RQ * RQ + SE                   |                       1 |         3.39522 |
| periodic + periodic + periodic + periodic * RQ * RQ * SE                   |                       1 |         4.20611 |
| periodic + periodic + periodic * periodic + RQ + RQ + SE                   |                       1 |         4.71439 |
| periodic + periodic + periodic * periodic + RQ + RQ * SE                   |                       1 |         5.12611 |
| periodic + periodic + periodic * periodic + RQ * RQ + SE                   |                       1 |         3.35948 |
| periodic + periodic + periodic * periodic + RQ * RQ * SE                   |                       1 |         5.88398 |
| periodic + periodic + periodic * periodic * RQ + RQ + SE                   |                       1 |         3.95159 |
| periodic + periodic + periodic * periodic * RQ + RQ * SE                   |                       1 |         5.90287 |
| periodic + periodic + periodic * periodic * RQ * RQ + SE                   |                       1 |         5.81097 |
| periodic + periodic + periodic * periodic * RQ * RQ * SE                   |                       1 |         5.68895 |
| periodic + periodic * periodic + periodic * RQ + RQ + SE                   |                       1 |         5.0696  |
| periodic + periodic * periodic + periodic * RQ + RQ * SE                   |                       1 |         5.68949 |
| periodic + periodic * periodic + periodic * RQ * RQ + SE                   |                       1 |         5.75003 |
| periodic + periodic * periodic + periodic * RQ * RQ * SE                   |                       1 |         6.94308 |
| periodic + periodic * periodic * periodic + RQ + RQ + SE                   |                       1 |         5.12678 |
| periodic + periodic * periodic * periodic + RQ + RQ * SE                   |                       1 |         5.74417 |
| periodic + periodic * periodic * periodic + RQ * RQ + SE                   |                       1 |         5.74136 |
| periodic + periodic * periodic * periodic + RQ * RQ * SE                   |                       1 |         6.91373 |
| periodic + periodic * periodic * periodic * RQ + RQ + SE                   |                       1 |         5.72923 |
| periodic + periodic * periodic * periodic * RQ + RQ * SE                   |                       1 |         6.90082 |
| periodic + periodic * periodic * periodic * RQ * RQ + SE                   |                       1 |         6.87805 |
| periodic + periodic * periodic * periodic * RQ * RQ * SE                   |                       1 |         9.24252 |
| periodic * periodic + periodic * periodic + RQ + RQ + SE                   |                       1 |         5.11252 |
| periodic * periodic + periodic * periodic + RQ + RQ * SE                   |                       1 |         5.7185  |
| periodic * periodic + periodic * periodic + RQ * RQ + SE                   |                       1 |         5.72494 |
| periodic * periodic + periodic * periodic + RQ * RQ * SE                   |                       1 |         6.8826  |
| periodic * periodic + periodic * periodic * RQ + RQ + SE                   |                       1 |         5.7138  |
| periodic * periodic + periodic * periodic * RQ + RQ * SE                   |                       1 |         6.87755 |
| periodic * periodic + periodic * periodic * RQ * RQ + SE                   |                       1 |         6.85926 |
| periodic * periodic + periodic * periodic * RQ * RQ * SE                   |                       1 |         9.20385 |
| periodic * periodic * periodic + periodic * RQ + RQ + SE                   |                       1 |         5.73541 |
| periodic * periodic * periodic + periodic * RQ + RQ * SE                   |                       1 |         6.86943 |
| periodic * periodic * periodic + periodic * RQ * RQ + SE                   |                       1 |         6.85295 |
| periodic * periodic * periodic + periodic * RQ * RQ * SE                   |                       1 |         9.19071 |
| periodic * periodic * periodic * periodic + RQ + RQ + SE                   |                       1 |         5.77669 |
| periodic * periodic * periodic * periodic + RQ + RQ * SE                   |                       1 |         6.86744 |
| periodic * periodic * periodic * periodic + RQ * RQ + SE                   |                       1 |         6.85518 |
| periodic * periodic * periodic * periodic + RQ * RQ * SE                   |                       1 |         9.187   |
| periodic * periodic * periodic * periodic * RQ + RQ + SE                   |                       1 |         6.86913 |
| periodic * periodic * periodic * periodic * RQ + RQ * SE                   |                       1 |         9.18353 |
| periodic * periodic * periodic * periodic * RQ * RQ + SE                   |                       1 |         9.13796 |
| periodic * periodic * periodic * periodic * RQ * RQ * SE                   |                       1 |        16.1565  |
| periodic + periodic + periodic + periodic + RQ + SE + SE                   |                       1 |         5.3872  |
